BUYER_STATE,BUYER_COUNTY,YEAR,TOTAL_MME,BUYER_BUS_ACT,unique_buyers
CA,ALAMEDA,2006,22629606736.477787,"ANALYTICAL LAB,CHAIN PHARMACY,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-OPTOMETRIST,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RESEARCHER (I),RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",11603
CA,ALAMEDA,2007,24532529167.875652,"ANALYTICAL LAB,CHAIN PHARMACY,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-OPTOMETRIST,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",12060
CA,ALAMEDA,2008,17947299069.999134,"ANALYTICAL LAB,CHAIN PHARMACY,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-OPTOMETRIST,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",12055
CA,ALAMEDA,2009,25966889788.552814,"ANALYTICAL LAB,CHAIN PHARMACY,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-NURSE PRACTITIONER,MLP-OPTOMETRIST,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",10702
CA,ALAMEDA,2010,20788341673.76926,"ANALYTICAL LAB,CHAIN PHARMACY,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-OPTOMETRIST,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",10520
CA,ALAMEDA,2011,15719377698.985413,"ANALYTICAL LAB,CHAIN PHARMACY,CHEMPACK/SNS DISTRIBUTOR,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",10549
CA,ALAMEDA,2012,16674648792.512241,"ANALYTICAL LAB,CHAIN PHARMACY,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-OPTOMETRIST,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",10514
CA,ALAMEDA,2013,14683855415.141357,"ANALYTICAL LAB,CHAIN PHARMACY,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-OPTOMETRIST,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",10705
CA,ALAMEDA,2014,14027851960.771309,"ANALYTICAL LAB,CHAIN PHARMACY,CHEMPACK/SNS DISTRIBUTOR,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-OPTOMETRIST,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",10174
CA,ALAMEDA,2015,12440517246.987732,"ANALYTICAL LAB,CHAIN PHARMACY,CHEMPACK/SNS DISTRIBUTOR,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC- MIL,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,PRACTITIONER,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",2457
CA,ALAMEDA,2016,14755928232.017952,"ANALYTICAL LAB,CHAIN PHARMACY,CHEMPACK/SNS DISTRIBUTOR,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC- MIL,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,PRACTITIONER,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",2340
CA,ALAMEDA,2017,89376852876205.27,"ANALYTICAL LAB,CHAIN PHARMACY,CHEMPACK/SNS DISTRIBUTOR,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC- MIL,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-NURSE PRACTITIONER,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,RESEARCHER (II-V),RETAIL PHARMACY,REVERSE DISTRIB",2713
