BUYER_STATE,BUYER_COUNTY,YEAR,TOTAL_MME
CA,ALPINE,2006,454.05
CA,ALPINE,2008,605.4000000000001
CA,ALPINE,2009,11386.9686
CA,ALPINE,2010,9570.7686
CA,ALPINE,2011,1887.6372
CA,ALPINE,2012,302.70000000000005
CA,ALPINE,2015,998.16
CA,ALPINE,2016,55.04
CA,AMADOR,2006,44730080.5683165
CA,AMADOR,2007,50602004.2534735
CA,AMADOR,2008,56917229.868967496
CA,AMADOR,2009,65017808.4693485
CA,AMADOR,2010,66922507.14123
CA,AMADOR,2011,67268677.2601875
CA,AMADOR,2012,70978134.010328
CA,AMADOR,2013,67894828.854252
CA,AMADOR,2014,68816917.2334615
CA,AMADOR,2015,65960314.141439
CA,AMADOR,2016,60109872.28456099
CA,AMADOR,2017,51987861.220052496
CA,AMADOR,2018,49718301.005312994
CA,AMADOR,2019,46022172.36489549
CA,BUTTE,2006,410921639.534783
CA,BUTTE,2007,463361851.670615
CA,BUTTE,2008,573019437.8484399
CA,BUTTE,2010,573201805.7855765
CA,BUTTE,2012,512621365.3330895
CA,BUTTE,2013,490077575.4384725
CA,BUTTE,2014,468610239.9973915
CA,BUTTE,2015,460835712.39348894
CA,BUTTE,2016,417943555.0453357
CA,BUTTE,2017,371391852.246023
CA,BUTTE,2018,322727426.142305
CA,CALAVERAS,2006,43585872.915338
CA,CALAVERAS,2007,50815388.124818504
CA,CALAVERAS,2008,55644658.2026955
CA,CALAVERAS,2009,62169983.0963965
CA,CALAVERAS,2010,71705313.079408
CA,CALAVERAS,2011,74013399.5388715
CA,CALAVERAS,2012,70741206.54395
CA,CALAVERAS,2013,67431689.0582285
CA,CALAVERAS,2014,71120669.698731
CA,CALAVERAS,2015,63269247.237484
CA,CALAVERAS,2016,54391561.379614
CA,CALAVERAS,2017,50450569.565469
CA,CALAVERAS,2018,32458496.271066997
CA,CALAVERAS,2019,25133140.001728
CA,COLUSA,2006,18504816.793673
CA,COLUSA,2007,18217152.8462955
CA,COLUSA,2008,18868682.0110345
CA,COLUSA,2009,20722818.0956745
CA,COLUSA,2010,25197523.75351
CA,COLUSA,2011,26593558.3393345
CA,COLUSA,2012,29559688.390469
CA,COLUSA,2013,24927455.593409
CA,COLUSA,2014,16914491.803966
CA,COLUSA,2015,16185952.288487
CA,COLUSA,2016,12984760.480506998
CA,COLUSA,2017,8062910.516561999
CA,COLUSA,2018,6970289.942450999
CA,COLUSA,2019,6669510.762457999
CA,DEL NORTE,2006,41142051.9261885
CA,DEL NORTE,2007,46596133.4571605
CA,DEL NORTE,2008,50829218.497664995
CA,DEL NORTE,2009,54899206.570229
CA,DEL NORTE,2010,63576577.364021
CA,DEL NORTE,2011,66788468.4487
CA,DEL NORTE,2012,66582710.3201215
CA,DEL NORTE,2013,54363047.086674
CA,DEL NORTE,2014,56414205.519039
CA,DEL NORTE,2015,55778062.8797785
CA,DEL NORTE,2016,55153499.480973
CA,DEL NORTE,2017,55098285.592391
CA,DEL NORTE,2018,50042889.001628
CA,DEL NORTE,2019,52004372.253344
CA,EL DORADO,2006,132207270.6900995
CA,EL DORADO,2007,156283704.4922582
CA,EL DORADO,2008,172253316.40103945
CA,EL DORADO,2009,184652001.714393
CA,EL DORADO,2010,193033230.442184
CA,EL DORADO,2011,181942173.9217015
CA,EL DORADO,2012,183199323.500876
CA,EL DORADO,2013,179043059.4110115
CA,EL DORADO,2014,172447650.3225775
CA,EL DORADO,2015,168923228.62094066
CA,EL DORADO,2016,158426293.201976
CA,EL DORADO,2017,157987155.96719128
CA,EL DORADO,2018,149692881.49542698
CA,FRESNO,2006,647835868.0397058
CA,FRESNO,2007,706788543.92528
CA,FRESNO,2008,733428415.466597
CA,FRESNO,2011,862995911.7481065
CA,FRESNO,2012,887485995.8621305
CA,FRESNO,2013,838871198.3256173
CA,FRESNO,2014,814535091.873346
CA,FRESNO,2015,788907929.4116611
CA,FRESNO,2016,767689895.5596611
CA,FRESNO,2017,719723631.2887034
CA,FRESNO,2018,645600759.40883
CA,FRESNO,2019,607139808.8955777
CA,GLENN,2006,27612424.916836
CA,GLENN,2007,29528816.1065205
CA,GLENN,2008,31398849.7468795
CA,GLENN,2009,30446714.390415
CA,GLENN,2010,31895476.1139815
CA,GLENN,2011,29331782.7748615
CA,GLENN,2012,26605111.2133345
CA,GLENN,2013,24515495.7375725
CA,GLENN,2014,25858357.079701
CA,GLENN,2015,27538828.95353
CA,GLENN,2016,25717688.85616925
CA,GLENN,2017,22788367.785981
CA,GLENN,2018,20713522.614363
CA,GLENN,2019,18887678.433682
CA,HUMBOLDT,2006,213696850.0723605
CA,HUMBOLDT,2007,238603005.7178576
CA,HUMBOLDT,2008,258915279.6067375
CA,HUMBOLDT,2009,268666371.13241726
CA,HUMBOLDT,2010,264379612.7851105
CA,HUMBOLDT,2011,272190377.270624
CA,HUMBOLDT,2012,274531440.856967
CA,HUMBOLDT,2013,261344141.8017195
CA,HUMBOLDT,2014,248072854.7951518
CA,HUMBOLDT,2015,236938499.822233
CA,HUMBOLDT,2016,351646435.34413916
CA,HUMBOLDT,2017,476416071.0690815
CA,HUMBOLDT,2018,447425314991.3889
CA,IMPERIAL,2006,62383783.169504
CA,IMPERIAL,2007,62991766.871559
CA,IMPERIAL,2008,78256957.2310915
CA,IMPERIAL,2009,84324390.394297
CA,IMPERIAL,2010,85109283.06463
CA,IMPERIAL,2011,97084450.3362415
CA,IMPERIAL,2012,97084866.9971015
CA,IMPERIAL,2013,113963335.501964
CA,IMPERIAL,2014,111267707.661053
CA,IMPERIAL,2015,111577486.742554
CA,IMPERIAL,2016,113640524.326713
CA,IMPERIAL,2017,110483056.8749595
CA,IMPERIAL,2018,100109884.37176047
CA,IMPERIAL,2019,81967220.398443
CA,INYO,2006,14513852.374179
CA,INYO,2007,18097897.404082
CA,INYO,2008,22356709.4637195
CA,INYO,2009,24380820.774996
CA,INYO,2010,22676559.360241
CA,INYO,2011,28930808.725537498
CA,INYO,2012,30595800.75523
CA,INYO,2013,31941988.578652997
CA,INYO,2014,29781573.1353755
CA,INYO,2015,28410428.127649497
CA,INYO,2016,28429689.344353
CA,INYO,2017,28594900.721201
CA,INYO,2018,29424244.53817
CA,INYO,2019,22914675.347358
CA,KERN,2010,657049400.7682577
CA,KERN,2011,705401173.9621114
CA,KERN,2012,725112306.232958
CA,KERN,2013,705163115.100148
CA,KERN,2014,664366130.4964468
CA,KERN,2015,653232816.1345881
CA,KERN,2016,639351220.6279905
CA,KERN,2017,591728764.8920506
CA,KERN,2018,514921177.5384849
CA,KINGS,2019,61309521.7921725
CA,LAKE,2006,118985858.3073355
CA,LAKE,2007,131001527.3621065
CA,LAKE,2008,150868241.655169
CA,LAKE,2009,163675366.55453148
CA,LAKE,2010,173681657.457347
CA,LAKE,2011,177776207.100464
CA,LAKE,2012,185658606.9170275
CA,LAKE,2013,180894840.281276
CA,LAKE,2014,172014907.8196735
CA,LAKE,2015,157612616.44831198
CA,LAKE,2016,138112033.853001
CA,LAKE,2017,124217340.4327982
CA,LAKE,2018,113275327.598845
CA,LAKE,2019,107513217.339032
CA,LASSEN,2006,55274745.2886545
CA,LASSEN,2007,58346978.32426825
CA,LASSEN,2008,66520841.94551875
CA,LASSEN,2009,72909397.8916385
CA,LASSEN,2010,73010690.764483
CA,LASSEN,2011,73323048.0673635
CA,LASSEN,2012,74851022.1457455
CA,LASSEN,2013,61564213.727748
CA,LASSEN,2014,52570442.4280225
CA,LASSEN,2015,39310841.5987475
CA,LASSEN,2017,24582059.284777
CA,LASSEN,2018,19756893.115545
CA,LASSEN,2019,18894552.614713
CA,MADERA,2006,67616026.7805635
CA,MADERA,2007,77356828.783577
CA,MADERA,2008,83089975.67163324
CA,MADERA,2009,84754320.31209075
CA,MADERA,2010,88067664.93544699
CA,MADERA,2011,88997537.760785
CA,MADERA,2012,87982912.5916755
CA,MADERA,2013,86472155.1830185
CA,MADERA,2014,83527090.0930045
CA,MADERA,2015,87612585.311529
CA,MADERA,2016,76796349.49629399
CA,MADERA,2017,67076453.8560635
CA,MADERA,2018,57758875.12655649
CA,MADERA,2019,46249335.6880755
CA,MARIPOSA,2006,6289454.034138
CA,MARIPOSA,2007,5929688.494483
CA,MARIPOSA,2008,6560854.5585044995
CA,MARIPOSA,2009,10889318.1490395
CA,MARIPOSA,2010,11615048.729424
CA,MARIPOSA,2011,12928603.379666
CA,MARIPOSA,2012,14417463.40113
CA,MARIPOSA,2013,15354608.895072
CA,MARIPOSA,2014,15709681.680499
CA,MARIPOSA,2015,15870639.982135998
CA,MARIPOSA,2016,14811448.2365055
CA,MARIPOSA,2017,17778682.773369998
CA,MARIPOSA,2018,8781327.05444
CA,MARIPOSA,2019,7010610.439649999
CA,MENDOCINO,2006,137248651.3931515
CA,MENDOCINO,2007,146512028.5587375
CA,MENDOCINO,2008,153400275.061175
CA,MENDOCINO,2009,155196558.662584
CA,MENDOCINO,2010,157391705.1940875
CA,MENDOCINO,2011,159095435.509928
CA,MENDOCINO,2012,162132446.748612
CA,MENDOCINO,2013,162507536.625981
CA,MENDOCINO,2014,162365219.59109348
CA,MENDOCINO,2015,158482449.3416302
CA,MENDOCINO,2016,142277822.66343898
CA,MENDOCINO,2017,134820809.02449438
CA,MENDOCINO,2018,131808977.72915947
CA,MENDOCINO,2019,140910695.1266475
CA,MERCED,2006,108674544.980516
CA,MERCED,2007,126919772.85110486
CA,MERCED,2008,137765785.65517625
CA,MERCED,2009,146380273.238156
CA,MERCED,2010,157801567.843827
CA,MERCED,2011,175211826.1062378
CA,MERCED,2012,190469150.5438525
CA,MERCED,2013,196386874.888103
CA,MERCED,2014,203447608.43561
CA,MERCED,2015,202561153.56660417
CA,MERCED,2016,192838873.534859
CA,MERCED,2017,162792681.7393505
CA,MERCED,2018,135604114.096309
CA,MERCED,2019,119136774.5265075
CA,MODOC,2006,9625632.378603
CA,MODOC,2007,10990622.021925
CA,MODOC,2008,12491830.173865
CA,MODOC,2009,13196374.3510785
CA,MODOC,2010,14525145.9575625
CA,MODOC,2011,14333989.227439
CA,MODOC,2012,12717419.078266
CA,MODOC,2013,9362589.201819
CA,MODOC,2014,8546503.2470035
CA,MODOC,2015,7488572.580185
CA,MODOC,2016,6994187.801413
CA,MODOC,2017,8574856.12582
CA,MODOC,2018,9440973.1521
CA,MODOC,2019,10139340.794406
CA,MONO,2006,2011256.347768
CA,MONO,2007,2127942.104594
CA,MONO,2008,2547338.81449475
CA,MONO,2009,2971914.59616075
CA,MONO,2010,3351507.0419885
CA,MONO,2011,3938023.197445
CA,MONO,2012,4485477.336264499
CA,MONO,2013,4130294.244322
CA,MONO,2014,4329433.853867
CA,MONO,2015,4989810.826185999
CA,MONO,2016,4836214.829848
CA,MONO,2017,4903391.411303
CA,MONO,2018,3739154.807724
CA,MONO,2019,3608252.186619
CA,MONTEREY,2006,238660450.301039
CA,MONTEREY,2007,258166546.6917415
CA,MONTEREY,2008,275678232.26405567
CA,MONTEREY,2009,313154814.0487737
CA,MONTEREY,2010,332282955.5248335
CA,MONTEREY,2011,353708528.233786
CA,MONTEREY,2012,353549135.2617035
CA,MONTEREY,2013,338426965.648924
CA,MONTEREY,2014,306363088.6208285
CA,MONTEREY,2015,291005225.975947
CA,MONTEREY,2016,266687008.8084345
CA,MONTEREY,2017,237231714.287246
CA,MONTEREY,2018,214871438.319971
CA,MONTEREY,2019,210375416.27427548
CA,NAPA,2006,108416935.231449
CA,NAPA,2007,123539205.8300385
CA,NAPA,2008,127136255.4458395
CA,NAPA,2009,133250224.9415475
CA,NAPA,2010,138182956.516774
CA,NAPA,2011,130888939.029812
CA,NAPA,2012,135250556.118619
CA,NAPA,2013,129353555.14383
CA,NAPA,2014,127075154.738833
CA,NAPA,2015,123085677.249311
CA,NAPA,2016,111628443.002572
CA,NAPA,2017,95692413.234427
CA,NAPA,2018,81735006.139591
CA,NAPA,2019,73899415.809776
CA,NEVADA,2006,140279281.6589255
CA,NEVADA,2007,168778257.012362
CA,NEVADA,2008,142785969.566008
CA,NEVADA,2009,146400195.92543548
CA,NEVADA,2010,156293658.185648
CA,NEVADA,2011,144091581.90477
CA,NEVADA,2012,137688417.2351405
CA,NEVADA,2013,129524524.918945
CA,NEVADA,2014,124011219.7693905
CA,NEVADA,2015,112464893.401708
CA,NEVADA,2016,103629276.2494056
CA,NEVADA,2017,102265669.7864831
CA,NEVADA,2018,104396099.151043
CA,NEVADA,2019,115817579.268649
CA,PLACER,2006,479333137.9011545
CA,PLACER,2007,500536374.3789572
CA,PLACER,2008,505133911.02568847
CA,PLACER,2009,550009339.356164
CA,PLACER,2010,585599110.3859215
CA,PLACER,2011,583220204.5438588
CA,PLACER,2012,569248523.2149675
CA,PLACER,2013,541233234.7700095
CA,PLACER,2014,520348779.0361085
CA,PLACER,2015,506404698.9680977
CA,PLACER,2016,477300370.0838224
CA,PLACER,2017,436933178.7797295
CA,PLACER,2018,409514045.5060875
CA,PLACER,2019,383169652.9125304
CA,PLUMAS,2006,29426392.8380225
CA,PLUMAS,2007,28821798.41580515
CA,PLUMAS,2008,29177836.37970515
CA,PLUMAS,2009,31720652.5581525
CA,PLUMAS,2010,35197175.309584
CA,PLUMAS,2011,37809984.1634235
CA,PLUMAS,2012,38908363.7709005
CA,PLUMAS,2013,37805434.3635145
CA,PLUMAS,2014,35146801.980666
CA,PLUMAS,2015,26340472.682098996
CA,PLUMAS,2016,21982443.659053
CA,PLUMAS,2017,21007357.093225
CA,PLUMAS,2018,20232936.515396997
CA,PLUMAS,2019,21739851.911057
CA,SAN BENITO,2006,21485726.6444225
CA,SAN BENITO,2007,23100292.009429
CA,SAN BENITO,2008,24868883.48304925
CA,SAN BENITO,2009,29823302.6043435
CA,SAN BENITO,2010,33677464.92076
CA,SAN BENITO,2011,34175482.183707
CA,SAN BENITO,2012,37060615.0899445
CA,SAN BENITO,2013,40600419.311802
CA,SAN BENITO,2014,42537668.511515
CA,SAN BENITO,2015,44135522.920791
CA,SAN BENITO,2016,43606751.831056
CA,SAN BENITO,2017,33488343.757051997
CA,SAN BENITO,2018,26967307.134938
CA,SAN BENITO,2019,25593131.683581997
CA,SAN FRANCISCO,2006,859706799.2059457
CA,SAN FRANCISCO,2010,1076598853.5712628
CA,SAN MATEO,2010,437988566.15363973
CA,SAN MATEO,2011,452901737.4186865
CA,SAN MATEO,2016,408239551.23139346
CA,SAN MATEO,2019,324514197.5314832
CA,SANTA BARBARA,2006,357679242.7147064
CA,SANTA BARBARA,2007,395308590.14261055
CA,SANTA BARBARA,2008,430464331.19370097
CA,SANTA BARBARA,2009,453075754.82732147
CA,SANTA BARBARA,2010,434502977.3669385
CA,SANTA BARBARA,2011,459814727.902606
CA,SANTA BARBARA,2012,428142677.968274
CA,SANTA BARBARA,2013,579859581.715811
CA,SANTA BARBARA,2014,372039257.42973
CA,SANTA BARBARA,2015,371477420.05265576
CA,SANTA BARBARA,2016,365625268.1991175
CA,SANTA BARBARA,2017,329804238.97308296
CA,SANTA BARBARA,2018,305403980.6477077
CA,SANTA BARBARA,2019,298360969.1835575
CA,SANTA CRUZ,2006,223619102.0726585
CA,SANTA CRUZ,2007,262997280.4319915
CA,SANTA CRUZ,2010,287541019.9992125
CA,SANTA CRUZ,2011,297832179.518836
CA,SANTA CRUZ,2012,1341350563.7781334
CA,SANTA CRUZ,2013,276283670.1204165
CA,SANTA CRUZ,2014,254575258.314519
CA,SANTA CRUZ,2015,250809648.01686648
CA,SANTA CRUZ,2016,248396211.567406
CA,SANTA CRUZ,2017,243360456.8729151
CA,SANTA CRUZ,2018,252376371.737653
CA,SHASTA,2006,339762441.273581
CA,SHASTA,2007,360103149.2798655
CA,SHASTA,2009,387072339.07600176
CA,SHASTA,2010,427270683.6043555
CA,SHASTA,2011,460818441.5564415
CA,SHASTA,2012,486096306.338276
CA,SHASTA,2015,350845295.8565165
CA,SHASTA,2016,321055726.52592546
CA,SHASTA,2017,305263947.938721
CA,SHASTA,2018,274960181.106776
CA,SHASTA,2019,271387746.47505146
CA,SIERRA,2006,870287.728953
CA,SIERRA,2007,1452745.317424
CA,SIERRA,2008,1264371.572934
CA,SIERRA,2009,2510280.67968
CA,SIERRA,2010,3691475.736681
CA,SIERRA,2011,2444210.36719
CA,SIERRA,2012,1856245.613222
CA,SIERRA,2013,1383687.454845
CA,SIERRA,2014,1052401.594934
CA,SIERRA,2015,544802.4949999999
CA,SIERRA,2016,363006.1697
CA,SIERRA,2017,211539.69911799993
CA,SIERRA,2018,77162.67115
CA,SIERRA,2019,28938.351099999996
CA,SISKIYOU,2006,49881830.77973
CA,SISKIYOU,2007,53443026.781104
CA,SISKIYOU,2008,58100452.695185
CA,SISKIYOU,2009,65365600.956541
CA,SISKIYOU,2010,71697422.835719
CA,SISKIYOU,2011,72762580.15084
CA,SISKIYOU,2012,78225604.96575549
CA,SISKIYOU,2013,80328773.7589705
