STATE,COUNTY,STNAME,CTYNAME,population,fips,STATE_ABBREV,merge_key,County Code,Deaths,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,BUYER_STATE,BUYER_COUNTY,TOTAL_MME,merge_on_arcos,Year
6,1,California,Alameda County,1444484,6001,CA,"ALAMEDA COUNTY, CA",6001,,,,,,,,2006
6,3,California,Alpine County,1276,6003,CA,"ALPINE COUNTY, CA",6003,,,,CA,ALPINE,454.05,"ALPINE COUNTY, CA",2006
6,5,California,Amador County,38353,6005,CA,"AMADOR COUNTY, CA",6005,,,,CA,AMADOR,44730080.5683165,"AMADOR COUNTY, CA",2006
6,7,California,Butte County,216824,6007,CA,"BUTTE COUNTY, CA",6007,,,,CA,BUTTE,410921639.534783,"BUTTE COUNTY, CA",2006
6,9,California,Calaveras County,46045,6009,CA,"CALAVERAS COUNTY, CA",6009,,,,CA,CALAVERAS,43585872.915338,"CALAVERAS COUNTY, CA",2006
6,11,California,Colusa County,20890,6011,CA,"COLUSA COUNTY, CA",6011,,,,CA,COLUSA,18504816.793673,"COLUSA COUNTY, CA",2006
6,13,California,Contra Costa County,1000834,6013,CA,"CONTRA COSTA COUNTY, CA",6013,,,,,,,,2006
6,15,California,Del Norte County,28211,6015,CA,"DEL NORTE COUNTY, CA",6015,,,,CA,DEL NORTE,41142051.9261885,"DEL NORTE COUNTY, CA",2006
6,17,California,El Dorado County,176773,6017,CA,"EL DORADO COUNTY, CA",6017,,,,CA,EL DORADO,132207270.6900995,"EL DORADO COUNTY, CA",2006
6,19,California,Fresno County,883862,6019,CA,"FRESNO COUNTY, CA",6019,,,,CA,FRESNO,647835868.0397058,"FRESNO COUNTY, CA",2006
6,21,California,Glenn County,27652,6021,CA,"GLENN COUNTY, CA",6021,,,,CA,GLENN,27612424.916836,"GLENN COUNTY, CA",2006
6,23,California,Humboldt County,132093,6023,CA,"HUMBOLDT COUNTY, CA",6023,,,,CA,HUMBOLDT,213696850.0723605,"HUMBOLDT COUNTY, CA",2006
6,25,California,Imperial County,160505,6025,CA,"IMPERIAL COUNTY, CA",6025,,,,CA,IMPERIAL,62383783.169504,"IMPERIAL COUNTY, CA",2006
6,27,California,Inyo County,18370,6027,CA,"INYO COUNTY, CA",6027,,,,CA,INYO,14513852.374179,"INYO COUNTY, CA",2006
6,29,California,Kern County,784511,6029,CA,"KERN COUNTY, CA",6029,,,,,,,,2006
6,31,California,Kings County,147712,6031,CA,"KINGS COUNTY, CA",6031,,,,,,,,2006
6,33,California,Lake County,64202,6033,CA,"LAKE COUNTY, CA",6033,,,,CA,LAKE,118985858.3073355,"LAKE COUNTY, CA",2006
6,35,California,Lassen County,34605,6035,CA,"LASSEN COUNTY, CA",6035,,,,CA,LASSEN,55274745.2886545,"LASSEN COUNTY, CA",2006
6,37,California,Los Angeles County,9737955,6037,CA,"LOS ANGELES COUNTY, CA",6037,,,,,,,,2006
6,39,California,Madera County,143622,6039,CA,"MADERA COUNTY, CA",6039,,,,CA,MADERA,67616026.7805635,"MADERA COUNTY, CA",2006
6,41,California,Marin County,244580,6041,CA,"MARIN COUNTY, CA",6041,,,,,,,,2006
6,43,California,Mariposa County,18219,6043,CA,"MARIPOSA COUNTY, CA",6043,,,,CA,MARIPOSA,6289454.034138,"MARIPOSA COUNTY, CA",2006
