STATE,COUNTY,STNAME,CTYNAME,population,fips,STATE_ABBREV,merge_key,County Code,Deaths,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,BUYER_STATE,BUYER_COUNTY,TOTAL_MME,merge_on_arcos,Year,county_state,mortality_rate_per_100k
6,7,California,Butte County,216824,6007,CA,"BUTTE COUNTY, CA",6007,,,,CA,BUTTE,410921639.534783,"BUTTE COUNTY, CA",2006,"Butte County, California",
6,17,California,El Dorado County,176773,6017,CA,"EL DORADO COUNTY, CA",6017,,,,CA,EL DORADO,132207270.6900995,"EL DORADO COUNTY, CA",2006,"El Dorado County, California",
6,19,California,Fresno County,883862,6019,CA,"FRESNO COUNTY, CA",6019,,,,CA,FRESNO,647835868.0397058,"FRESNO COUNTY, CA",2006,"Fresno County, California",
6,25,California,Imperial County,160505,6025,CA,"IMPERIAL COUNTY, CA",6025,,,,CA,IMPERIAL,62383783.169504,"IMPERIAL COUNTY, CA",2006,"Imperial County, California",
6,47,California,Merced County,245338,6047,CA,"MERCED COUNTY, CA",6047,,,,CA,MERCED,108674544.980516,"MERCED COUNTY, CA",2006,"Merced County, California",
6,53,California,Monterey County,401831,6053,CA,"MONTEREY COUNTY, CA",6053,,,,CA,MONTEREY,238660450.301039,"MONTEREY COUNTY, CA",2006,"Monterey County, California",
6,61,California,Placer County,321934,6061,CA,"PLACER COUNTY, CA",6061,,,,CA,PLACER,479333137.9011545,"PLACER COUNTY, CA",2006,"Placer County, California",
6,75,California,San Francisco County,768650,6075,CA,"SAN FRANCISCO COUNTY, CA",6075,,,,CA,SAN FRANCISCO,859706799.2059457,"SAN FRANCISCO COUNTY, CA",2006,"San Francisco County, California",
6,83,California,Santa Barbara County,408085,6083,CA,"SANTA BARBARA COUNTY, CA",6083,,,,CA,SANTA BARBARA,357679242.7147064,"SANTA BARBARA COUNTY, CA",2006,"Santa Barbara County, California",
6,87,California,Santa Cruz County,251616,6087,CA,"SANTA CRUZ COUNTY, CA",6087,,,,CA,SANTA CRUZ,223619102.0726585,"SANTA CRUZ COUNTY, CA",2006,"Santa Cruz County, California",
