Notes,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,STATE,COUNTY,STNAME,CTYNAME,year,population,fips
,"Alachua County, FL",12001,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,12,1,Florida,Alachua County,2003,227022,12001
,"Bay County, FL",12005,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,12,5,Florida,Bay County,2003,155044,12005
,"Brevard County, FL",12009,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0,12,9,Florida,Brevard County,2003,504847,12009
,"Broward County, FL",12011,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,170.0,12,11,Florida,Broward County,2003,1707543,12011
,"Citrus County, FL",12017,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,12,17,Florida,Citrus County,2003,126215,12017
,"Clay County, FL",12019,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,12,19,Florida,Clay County,2003,155620,12019
,"Collier County, FL",12021,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,12,21,Florida,Collier County,2003,285321,12021
,"Duval County, FL",12031,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,107.0,12,31,Florida,Duval County,2003,809633,12031
,"Escambia County, FL",12033,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,12,33,Florida,Escambia County,2003,296603,12033
,"Hernando County, FL",12053,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,12,53,Florida,Hernando County,2003,142686,12053
,"Highlands County, FL",12055,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,12,55,Florida,Highlands County,2003,90943,12055
,"Hillsborough County, FL",12057,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,114.0,12,57,Florida,Hillsborough County,2003,1077462,12057
,"Indian River County, FL",12061,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,12,61,Florida,Indian River County,2003,120450,12061
,"Lake County, FL",12069,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,12,69,Florida,Lake County,2003,241489,12069
,"Lee County, FL",12071,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,12,71,Florida,Lee County,2003,497662,12071
,"Leon County, FL",12073,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,12,73,Florida,Leon County,2003,250673,12073
,"Manatee County, FL",12081,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,12,81,Florida,Manatee County,2003,287000,12081
,"Marion County, FL",12083,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,12,83,Florida,Marion County,2003,280091,12083
,"Martin County, FL",12085,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,12,85,Florida,Martin County,2003,136598,12085
,"Miami-Dade County, FL",12086,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0,12,86,Florida,Miami-Dade County,2003,2336070,12086
,"Monroe County, FL",12087,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,12,87,Florida,Monroe County,2003,78497,12087
,"Okaloosa County, FL",12091,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,12,91,Florida,Okaloosa County,2003,177649,12091
,"Orange County, FL",12095,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0,12,95,Florida,Orange County,2003,979227,12095
,"Osceola County, FL",12097,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,12,97,Florida,Osceola County,2003,202687,12097
