STATE,COUNTY,STNAME,CTYNAME,year,population,fips
6,1,California,Alameda County,2000,1449840,06001
6,3,California,Alpine County,2000,1209,06003
6,5,California,Amador County,2000,35153,06005
6,7,California,Butte County,2000,203807,06007
6,9,California,Calaveras County,2000,40645,06009
6,11,California,Colusa County,2000,18817,06011
6,13,California,Contra Costa County,2000,952810,06013
6,15,California,Del Norte County,2000,27440,06015
6,17,California,El Dorado County,2000,157162,06017
6,19,California,Fresno County,2000,801288,06019
6,21,California,Glenn County,2000,26416,06021
6,23,California,Humboldt County,2000,126462,06023
6,25,California,Imperial County,2000,142410,06025
6,27,California,Inyo County,2000,17955,06027
6,29,California,Kern County,2000,663803,06029
6,31,California,Kings County,2000,129835,06031
6,33,California,Lake County,2000,58538,06033
6,35,California,Lassen County,2000,33719,06035
6,37,California,Los Angeles County,2000,9538191,06037
6,39,California,Madera County,2000,123587,06039
6,41,California,Marin County,2000,247520,06041
6,43,California,Mariposa County,2000,17101,06043
6,45,California,Mendocino County,2000,86407,06045
6,47,California,Merced County,2000,212258,06047
6,49,California,Modoc County,2000,9406,06049
6,51,California,Mono County,2000,12921,06051
6,53,California,Monterey County,2000,402990,06053
6,55,California,Napa County,2000,124565,06055
6,57,California,Nevada County,2000,92520,06057
6,59,California,Orange County,2000,2854513,06059
6,61,California,Placer County,2000,251012,06061
6,63,California,Plumas County,2000,20754,06063
6,65,California,Riverside County,2000,1558985,06065
6,67,California,Sacramento County,2000,1229940,06067
6,69,California,San Benito County,2000,53781,06069
6,71,California,San Bernardino County,2000,1718037,06071
6,73,California,San Diego County,2000,2827366,06073
6,75,California,San Francisco County,2000,777885,06075
6,77,California,San Joaquin County,2000,567885,06077
6,79,California,San Luis Obispo County,2000,247839,06079
6,81,California,San Mateo County,2000,707820,06081
6,83,California,Santa Barbara County,2000,399990,06083
6,85,California,Santa Clara County,2000,1684947,06085
6,87,California,Santa Cruz County,2000,255835,06087
6,89,California,Shasta County,2000,163615,06089
6,91,California,Sierra County,2000,3574,06091
6,93,California,Siskiyou County,2000,44218,06093
6,95,California,Solano County,2000,396974,06095
6,97,California,Sonoma County,2000,460421,06097
6,99,California,Stanislaus County,2000,449471,06099
6,101,California,Sutter County,2000,79192,06101
6,103,California,Tehama County,2000,56170,06103
6,105,California,Trinity County,2000,12980,06105
6,107,California,Tulare County,2000,368627,06107
6,109,California,Tuolumne County,2000,54658,06109
6,111,California,Ventura County,2000,756506,06111
6,113,California,Yolo County,2000,169835,06113
6,115,California,Yuba County,2000,60372,06115
8,1,Colorado,Adams County,2000,350888,08001
8,3,Colorado,Alamosa County,2000,14954,08003
8,5,Colorado,Arapahoe County,2000,491482,08005
8,7,Colorado,Archuleta County,2000,10020,08007
8,9,Colorado,Baca County,2000,4501,08009
8,11,Colorado,Bent County,2000,5954,08011
8,13,Colorado,Boulder County,2000,271574,08013
8,14,Colorado,Broomfield County,2000,39679,08014
8,15,Colorado,Chaffee County,2000,16337,08015
8,17,Colorado,Cheyenne County,2000,2209,08017
8,19,Colorado,Clear Creek County,2000,9255,08019
8,21,Colorado,Conejos County,2000,8401,08021
8,23,Colorado,Costilla County,2000,3675,08023
8,25,Colorado,Crowley County,2000,5509,08025
8,27,Colorado,Custer County,2000,3523,08027
8,29,Colorado,Delta County,2000,27877,08029
8,31,Colorado,Denver County,2000,555651,08031
8,33,Colorado,Dolores County,2000,1847,08033
8,35,Colorado,Douglas County,2000,180121,08035
8,37,Colorado,Eagle County,2000,41961,08037
8,39,Colorado,Elbert County,2000,20060,08039
8,41,Colorado,El Paso County,2000,519938,08041
8,43,Colorado,Fremont County,2000,46245,08043
8,45,Colorado,Garfield County,2000,44257,08045
8,47,Colorado,Gilpin County,2000,4783,08047
8,49,Colorado,Grand County,2000,12496,08049
8,51,Colorado,Gunnison County,2000,14068,08051
8,53,Colorado,Hinsdale County,2000,791,08053
8,55,Colorado,Huerfano County,2000,7771,08055
8,57,Colorado,Jackson County,2000,1577,08057
8,59,Colorado,Jefferson County,2000,526251,08059
8,61,Colorado,Kiowa County,2000,1610,08061
8,63,Colorado,Kit Carson County,2000,7971,08063
8,65,Colorado,Lake County,2000,7815,08065
8,67,Colorado,La Plata County,2000,44228,08067
8,69,Colorado,Larimer County,2000,253072,08069
8,71,Colorado,Las Animas County,2000,15297,08071
8,73,Colorado,Lincoln County,2000,6070,08073
8,75,Colorado,Logan County,2000,20699,08075
8,77,Colorado,Mesa County,2000,117631,08077
8,79,Colorado,Mineral County,2000,832,08079
8,81,Colorado,Moffat County,2000,13147,08081
8,83,Colorado,Montezuma County,2000,23847,08083
8,85,Colorado,Montrose County,2000,33599,08085
8,87,Colorado,Morgan County,2000,27257,08087
8,89,Colorado,Otero County,2000,20242,08089
8,91,Colorado,Ouray County,2000,3775,08091
8,93,Colorado,Park County,2000,14670,08093
8,95,Colorado,Phillips County,2000,4455,08095
8,97,Colorado,Pitkin County,2000,14817,08097
8,99,Colorado,Prowers County,2000,14431,08099
8,101,Colorado,Pueblo County,2000,141800,08101
8,103,Colorado,Rio Blanco County,2000,5986,08103
8,105,Colorado,Rio Grande County,2000,12445,08105
8,107,Colorado,Routt County,2000,19815,08107
8,109,Colorado,Saguache County,2000,5939,08109
8,111,Colorado,San Juan County,2000,562,08111
8,113,Colorado,San Miguel County,2000,6609,08113
8,115,Colorado,Sedgwick County,2000,2746,08115
8,117,Colorado,Summit County,2000,23700,08117
8,119,Colorado,Teller County,2000,20655,08119
8,121,Colorado,Washington County,2000,4939,08121
8,123,Colorado,Weld County,2000,182782,08123
