state,county_name,year,opioid_grams
AK,ALEUTIANS EAST,2006,0.9081
AK,ALEUTIANS EAST,2007,0.3027
AK,ALEUTIANS EAST,2011,0.03008
AK,ALEUTIANS EAST,2012,0.01504
AK,ALEUTIANS EAST,2013,0.12784
AK,ALEUTIANS EAST,2019,0.6064
AK,ALEUTIANS WEST,2006,175.7859
AK,ALEUTIANS WEST,2007,207.0422845
AK,ALEUTIANS WEST,2008,177.14958000000001
AK,ALEUTIANS WEST,2009,134.21305
AK,ALEUTIANS WEST,2010,128.95085
AK,ALEUTIANS WEST,2011,126.74021300000001
AK,ALEUTIANS WEST,2012,64.19564
AK,ALEUTIANS WEST,2013,68.115508
AK,ALEUTIANS WEST,2014,65.70107
AK,ALEUTIANS WEST,2017,22.101
AK,ANCHORAGE,2006,293340.964034558
AK,ANCHORAGE,2007,292990.266345439
AK,ANCHORAGE,2008,301910.994131863
AK,ANCHORAGE,2009,308273.152685218
AK,ANCHORAGE,2010,310390.319094491
AK,ANCHORAGE,2011,324973.167786666
AK,ANCHORAGE,2012,273546.465554238
AK,ANCHORAGE,2013,255056.450940545
AK,ANCHORAGE,2014,252100.419562215
AK,ANCHORAGE,2015,252105.2209902986
AK,ANCHORAGE,2016,282570.0580807996
AK,ANCHORAGE,2017,263368.8885207402
AK,ANCHORAGE,2018,652751.05801142
AK,ANCHORAGE,2019,195565.91555127
AK,BETHEL,2006,2474.698483391
AK,BETHEL,2007,2289.683524283
AK,BETHEL,2008,2321.586054891
AK,BETHEL,2009,1916.456288443
AK,BETHEL,2010,2580.921998753
AK,BETHEL,2011,2453.136973251
AK,BETHEL,2012,2592.752352133
AK,BETHEL,2013,2692.14917295
AK,BETHEL,2014,2406.079612223
AK,BETHEL,2015,2433.293939684
AK,BETHEL,2016,1988.255870735
AK,BETHEL,2017,1579.602585071
AK,BETHEL,2018,1167.396529082
AK,BETHEL,2019,1235.4143972810002
AK,BRISTOL BAY,2014,13.866000000000001
AK,BRISTOL BAY,2015,6.054
AK,BRISTOL BAY,2016,3.027
AK,BRISTOL BAY,2017,3.027
AK,BRISTOL BAY,2018,3.027
AK,DENALI,2006,11.80245
AK,DENALI,2007,42.71565
AK,DENALI,2008,2.7992610340000006
AK,DENALI,2009,3.9602600000000003
AK,DENALI,2010,3.78375
AK,DENALI,2011,0.06176
AK,DENALI,2012,5.735061035
AK,DENALI,2014,0.24824800000000002
AK,DENALI,2015,6.04558
AK,DENALI,2016,18.209899999999998
AK,DENALI,2017,8.47
AK,DENALI,2018,12.114600000000001
AK,DENALI,2019,5.05895
AK,DILLINGHAM,2006,1599.215387816
AK,DILLINGHAM,2007,1751.4367376540001
AK,DILLINGHAM,2008,1823.2234952979998
AK,DILLINGHAM,2009,1845.302825641
AK,DILLINGHAM,2010,1936.513954581
AK,DILLINGHAM,2011,2052.167867665
AK,DILLINGHAM,2012,2168.438496225
AK,DILLINGHAM,2013,2016.491755775
AK,DILLINGHAM,2014,1545.981205184
AK,DILLINGHAM,2015,1403.24942402
AK,DILLINGHAM,2016,1333.3967400000001
AK,DILLINGHAM,2017,1157.449578
AK,DILLINGHAM,2018,1203.0728106
AK,DILLINGHAM,2019,838.8338484000001
AK,FAIRBANKS NORTH STAR,2006,36699.59763715
AK,FAIRBANKS NORTH STAR,2007,34902.742666028
AK,FAIRBANKS NORTH STAR,2008,40146.968010192
AK,FAIRBANKS NORTH STAR,2009,40636.867782449
AK,FAIRBANKS NORTH STAR,2010,42790.615662037
AK,FAIRBANKS NORTH STAR,2011,48551.242045267
AK,FAIRBANKS NORTH STAR,2012,46110.022858829005
AK,FAIRBANKS NORTH STAR,2013,41201.547090550004
AK,FAIRBANKS NORTH STAR,2014,40674.987284365
AK,FAIRBANKS NORTH STAR,2015,39602.149285461
AK,FAIRBANKS NORTH STAR,2016,37296.352401269
AK,FAIRBANKS NORTH STAR,2017,33067.054845212
AK,FAIRBANKS NORTH STAR,2018,29154.352316388
AK,FAIRBANKS NORTH STAR,2019,23791.807884078997
AK,HAINES,2006,627.359980975
AK,HAINES,2007,778.6616918970001
AK,HAINES,2008,737.194903308
AK,HAINES,2009,622.235285
AK,HAINES,2010,569.099927238
AK,HAINES,2011,534.75548
AK,HAINES,2012,383.229915
AK,HAINES,2013,407.12071711
AK,HAINES,2014,366.38863104
AK,HAINES,2015,172.596222934
AK,HAINES,2016,165.393625681
AK,HAINES,2017,108.986424966
AK,HAINES,2018,93.0742051
AK,HAINES,2019,104.0131256
AK,HOONAH ANGOON,2006,58.995450000000005
AK,HOONAH ANGOON,2007,48.84780000000001
AK,HOONAH ANGOON,2008,15.5469
AK,HOONAH ANGOON,2010,0.01604
AK,HOONAH ANGOON,2012,0.001
AK,HOONAH ANGOON,2013,0.145296
AK,JUNEAU,2006,11017.549796379
AK,JUNEAU,2007,12048.135046542
AK,JUNEAU,2008,12647.362591047
AK,JUNEAU,2009,12940.695035028
AK,JUNEAU,2010,13163.208759068999
AK,JUNEAU,2011,12650.374275883
AK,JUNEAU,2012,12392.434716153
AK,JUNEAU,2013,11746.689696269
AK,JUNEAU,2014,11359.947497541
AK,JUNEAU,2015,10939.621244937
AK,JUNEAU,2016,10589.52272556
AK,JUNEAU,2017,9194.386039486999
AK,JUNEAU,2018,7566.962744279
AK,JUNEAU,2019,6147.092856335
AK,KENAI PENINSULA,2006,30999.392542581998
AK,KENAI PENINSULA,2007,33894.710586393
AK,KENAI PENINSULA,2008,36754.408117237
AK,KENAI PENINSULA,2009,38987.25179345
AK,KENAI PENINSULA,2010,39718.994112488
AK,KENAI PENINSULA,2011,39325.796534983
AK,KENAI PENINSULA,2012,38095.899621966
AK,KENAI PENINSULA,2013,40459.956402349
AK,KENAI PENINSULA,2014,38122.979923251
AK,KENAI PENINSULA,2015,41732.913223822994
AK,KENAI PENINSULA,2016,42366.479389727
AK,KENAI PENINSULA,2017,34808.512478278
AK,KENAI PENINSULA,2018,30205.838462908
AK,KENAI PENINSULA,2019,25568.283129338997
AK,KETCHIKAN GATEWAY,2006,7296.120470299999
AK,KETCHIKAN GATEWAY,2007,6417.672385895
AK,KETCHIKAN GATEWAY,2008,6201.7227930399995
AK,KETCHIKAN GATEWAY,2009,5981.760072057999
AK,KETCHIKAN GATEWAY,2010,6284.068012375
AK,KETCHIKAN GATEWAY,2011,6589.289460677
AK,KETCHIKAN GATEWAY,2012,6093.89623794
AK,KETCHIKAN GATEWAY,2013,6864.266847622999
AK,KETCHIKAN GATEWAY,2014,6559.337828451
AK,KETCHIKAN GATEWAY,2015,6214.993762212
AK,KETCHIKAN GATEWAY,2016,5504.245570444
AK,KETCHIKAN GATEWAY,2017,4437.418964912
AK,KETCHIKAN GATEWAY,2018,3358.24015665
AK,KETCHIKAN GATEWAY,2019,3059.63943845
AK,KODIAK ISLAND,2006,2727.234237566
AK,KODIAK ISLAND,2007,3251.4356021490003
AK,KODIAK ISLAND,2008,3341.03962598
AK,KODIAK ISLAND,2009,3588.681158566
AK,KODIAK ISLAND,2010,3461.22950517
AK,KODIAK ISLAND,2011,3465.743705777
AK,KODIAK ISLAND,2012,3699.468150448
AK,KODIAK ISLAND,2013,3372.3013729289996
AK,KODIAK ISLAND,2014,3102.848970928
AK,KODIAK ISLAND,2015,2860.670176674
AK,KODIAK ISLAND,2016,2447.874941861
AK,KODIAK ISLAND,2017,2067.274371567
AK,KODIAK ISLAND,2018,1617.304225929
AK,KODIAK ISLAND,2019,1476.846042638
AK,MATANUSKA SUSITNA,2006,38534.539109786
AK,MATANUSKA SUSITNA,2007,47916.556183305
AK,MATANUSKA SUSITNA,2008,42976.963040523995
AK,MATANUSKA SUSITNA,2009,43814.546948262
AK,MATANUSKA SUSITNA,2010,48476.376842808
AK,MATANUSKA SUSITNA,2011,55340.772333833
AK,MATANUSKA SUSITNA,2012,60094.157639893
AK,MATANUSKA SUSITNA,2013,57149.97440563
AK,MATANUSKA SUSITNA,2014,52923.440270484
AK,MATANUSKA SUSITNA,2015,54412.153391962
AK,MATANUSKA SUSITNA,2016,56694.925677651
AK,MATANUSKA SUSITNA,2017,56501.231121512996
AK,MATANUSKA SUSITNA,2018,53628.883539662
AK,MATANUSKA SUSITNA,2019,46195.629575981
AK,NOME,2006,2081.004790133
AK,NOME,2007,2221.287621023
AK,NOME,2008,3002.476834359
AK,NOME,2009,2897.403874371
AK,NOME,2010,3465.637767024
AK,NOME,2011,3039.16387304
AK,NOME,2012,2971.331919446
AK,NOME,2013,3028.0156199529997
