Buyer State,Buyer County,Year,Total_MME
FL,ALACHUA,2007,381327.48436864815
FL,ALACHUA,2009,496969.628672338
FL,ALACHUA,2010,1008228.8952983705
FL,ALACHUA,2011,508708.24786665273
FL,ALACHUA,2012,491362.87050500227
FL,ALACHUA,2013,458545.934562699
FL,ALACHUA,2014,448034.12806232047
FL,ALACHUA,2015,487737.38631173724
FL,BAY,2006,281264.6978506745
FL,BAY,2007,127025.07972241486
FL,BAY,2008,138489.90335859125
FL,BAY,2009,151449.167487304
FL,BAY,2010,347077.2361020805
FL,BAY,2012,212787.829887256
FL,BAY,2013,240823.9438750515
FL,BAY,2014,267713.443826699
FL,BAY,2015,278511.32032968424
FL,BREVARD,2006,1105137.020717373
FL,BREVARD,2007,666783.7218124007
FL,BREVARD,2008,730109.8738593075
FL,BREVARD,2009,820134.5223380344
FL,BREVARD,2010,1987367.433130403
FL,BREVARD,2011,1022120.1590041033
FL,BREVARD,2012,954511.943140733
FL,BREVARD,2013,932319.905707325
FL,BREVARD,2014,960456.9303749495
FL,BREVARD,2015,1005144.1569671875
FL,BROWARD,2006,85064426251.29431
FL,BROWARD,2007,701706377.3642808
FL,BROWARD,2008,81896563968.0442
FL,BROWARD,2009,396051258148.1637
FL,BROWARD,2010,1288593019636.0537
FL,BROWARD,2011,136815110228.80208
FL,BROWARD,2012,153288312760.8437
FL,BROWARD,2013,1625363172299.8901
FL,BROWARD,2014,1480074054417.291
FL,BROWARD,2015,98677716269.0025
FL,CHARLOTTE,2006,190361.0494266464
FL,CHARLOTTE,2007,216554.27157430977
FL,CHARLOTTE,2008,254611.07331797335
FL,CHARLOTTE,2009,321369.385466029
FL,CHARLOTTE,2010,730286.6297535464
FL,CHARLOTTE,2011,720671.0167747325
FL,CHARLOTTE,2012,256226.01732615975
FL,CHARLOTTE,2013,207836.1039858245
FL,CHARLOTTE,2014,420628.358575927
FL,CHARLOTTE,2015,235068.6646170285
FL,CITRUS,2006,132493.35490058776
FL,CITRUS,2007,143860.32395368125
FL,CITRUS,2008,161098.53969292974
FL,CITRUS,2009,179753.18230833026
FL,CITRUS,2010,429767.73005237
FL,CITRUS,2011,267489.700276764
FL,CITRUS,2012,228931.804699081
FL,CITRUS,2013,202100.5908763995
FL,CITRUS,2014,198965.5814413485
FL,CITRUS,2015,203731.144548933
FL,CLAY,2006,176869.51510200804
FL,CLAY,2007,209130.57637535874
FL,CLAY,2008,240426.43988028276
FL,CLAY,2009,279863.7657674443
FL,CLAY,2010,610563.3406871475
FL,CLAY,2011,324891.187663906
FL,CLAY,2012,335331.7534317815
FL,CLAY,2013,291168.4624725015
FL,CLAY,2014,272622.54380722647
FL,CLAY,2015,281426.240701821
FL,COLLIER,2006,336245.9552821132
FL,COLLIER,2007,379077.3973514764
FL,COLLIER,2008,328611.12815721624
FL,COLLIER,2009,387640.53866533376
FL,COLLIER,2010,875170.1221675394
FL,COLLIER,2011,406060.807971439
FL,COLLIER,2012,357679.6099129385
FL,COLLIER,2013,349130.94655444776
FL,COLLIER,2014,335593.0444356855
FL,COLLIER,2015,400067.16498799797
FL,COLUMBIA,2008,120049.8968787863
FL,COLUMBIA,2010,280082.8098046135
FL,COLUMBIA,2012,157402.63922310199
FL,COLUMBIA,2013,156605.97560304
FL,COLUMBIA,2014,157431.829630634
FL,COLUMBIA,2015,158581.9833589595
FL,DUVAL,2006,3267744.0489299675
FL,DUVAL,2007,1592018.9200594414
FL,DUVAL,2008,1348624.787820082
FL,DUVAL,2009,1389818.0864853438
FL,DUVAL,2010,4526506.210235196
FL,DUVAL,2011,1638640.198998279
FL,DUVAL,2012,1686020.205030505
FL,DUVAL,2013,1748976.9573724014
FL,DUVAL,2014,2189878.886118567
FL,DUVAL,2015,8069411.9402866615
FL,ESCAMBIA,2006,275571.26912718307
FL,ESCAMBIA,2007,310768.98557272274
FL,ESCAMBIA,2008,289481.277466112
FL,ESCAMBIA,2009,314740.7507696723
FL,ESCAMBIA,2010,714577.53916566
FL,ESCAMBIA,2011,380301.17234497546
FL,ESCAMBIA,2012,424465.29666118824
FL,ESCAMBIA,2013,466260.7347761685
FL,ESCAMBIA,2014,501549.6305960635
FL,ESCAMBIA,2015,541542.4186685139
FL,FLAGLER,2011,106737.181656281
FL,FLAGLER,2015,117715.79171564699
FL,HERNANDO,2006,185605.69754482326
FL,HERNANDO,2007,252877.4514694655
FL,HERNANDO,2008,342499.46536178526
FL,HERNANDO,2009,417257.87072178145
FL,HERNANDO,2010,1013746.1903500659
FL,HERNANDO,2011,423388.22324910824
FL,HERNANDO,2012,355400.140523044
FL,HERNANDO,2013,293914.3482391945
FL,HERNANDO,2014,314889.375138208
FL,HERNANDO,2015,329337.14646019536
FL,HIGHLANDS,2011,89470.3683005735
FL,HIGHLANDS,2012,78343.862986296
FL,HIGHLANDS,2013,81137.21939849426
FL,HIGHLANDS,2014,84553.2512017495
FL,HILLSBOROUGH,2006,530180161.04446447
FL,HILLSBOROUGH,2007,505945194.8074614
FL,HILLSBOROUGH,2008,1133141330.9087648
FL,HILLSBOROUGH,2009,36449801.6209474
FL,HILLSBOROUGH,2010,244581609.16776663
FL,HILLSBOROUGH,2011,6379929123.496093
FL,HILLSBOROUGH,2012,451972497.50980985
FL,HILLSBOROUGH,2013,140507537220.4156
FL,HILLSBOROUGH,2014,48506359592.120255
FL,HILLSBOROUGH,2015,270440462.1651747
FL,INDIAN RIVER,2006,144835.1024625175
FL,INDIAN RIVER,2007,286136.658173616
FL,INDIAN RIVER,2008,311662.9862671155
FL,INDIAN RIVER,2009,429583.55696018675
FL,INDIAN RIVER,2010,985932.213152029
FL,INDIAN RIVER,2011,495178.47870253
FL,INDIAN RIVER,2012,441502.44728171977
FL,INDIAN RIVER,2013,400290.7616256088
FL,INDIAN RIVER,2014,462928.687364829
FL,INDIAN RIVER,2015,472758.46521641425
FL,LAKE,2006,168978.40697481486
FL,LAKE,2007,187191.512783208
FL,LAKE,2008,238697.64493220326
FL,LAKE,2009,283822.5332595502
FL,LAKE,2010,650091.640488376
FL,LAKE,2011,345344.69985011924
FL,LAKE,2012,347780.535564203
FL,LAKE,2013,343027.10087590077
FL,LAKE,2014,361694.646662083
FL,LAKE,2015,363417.4685953787
FL,LEE,2006,819718.0058205515
FL,LEE,2007,808689.7800604142
FL,LEE,2008,786758.6047597824
FL,LEE,2009,959372.5703417682
FL,LEE,2010,2498482.880141507
FL,LEE,2011,1191224.8445873512
FL,LEE,2012,942411.9932847015
FL,LEE,2013,867505.6641426868
FL,LEE,2014,856368.510076999
FL,LEE,2015,922969.3512958442
FL,LEON,2007,175810.2240819681
FL,LEON,2008,864984.4310720586
FL,LEON,2011,178128.877076498
FL,LEON,2013,282633.486714529
FL,LEON,2014,264004.87498581747
FL,LEON,2015,253927.7986552495
FL,LEVY,2012,59789.3577203675
FL,MANATEE,2006,472844.161360962
FL,MANATEE,2007,484449.1465424139
FL,MANATEE,2008,497325.99588008627
FL,MANATEE,2009,562841.5220003403
FL,MANATEE,2010,1430827.426861762
FL,MANATEE,2011,704947.0792582972
FL,MANATEE,2012,626157.416215872
FL,MANATEE,2013,562559.243308199
FL,MANATEE,2014,603641.0777516065
FL,MANATEE,2015,590336.472880403
FL,MARION,2006,288251.21361585276
FL,MARION,2007,308746.7017482815
FL,MARION,2008,2593152.84445881
FL,MARION,2009,358139.64955401525
FL,MARION,2010,988680.974035266
FL,MARION,2011,429168.3988406915
FL,MARION,2012,429487.31611390726
FL,MARION,2013,431971.7850400625
FL,MARION,2014,444843.2938661227
